Date,Campaign Name,Campaign ID,Ad Name,Ad ID,Custom Id,Title,Description,Cta,Url,Thumbnail Url,Video Url,Poster Image,Clicks,Served Ads,Impressions,Spent,Value,ROAS,ROAS (Clicks),ROAS (Views),CTR,CPM,Actual CPC,CPA,CPA (Clicks),CPA (Views),Conversions,Conversions (Clicks),Conversions (Views),Conversion Rate,Conversion Rate (Clicks),Conversion Rate (Views),Unnamed: 33
8/27/25,EarPros_UK_LEAD_APR24_mobile,36874267,UK_CLIP_Image 174,4116151273,,${city:capitalized}$: Calling All People over 50! Claim Your New Hearing Aids Now,"Sleek, discreet, and affordable hearing aids are now available. Take a free trial today and experience the difference.",TRY_FREE,https://get.earpros.com/uk/adv/free-hearing-aid-trial/?mci=UKNAT1MEUZBJFW9%0A,https://cdn.taboola.com/libtrc/static/thumbnails/2c30b990a7802f913039b48f63dd1dd6.jpg,https://cdn.taboola.com/libtrc/static/video/v1747232492/vay8lvxi16laevceuccd.mp4!-#@800x480,https://cdn.taboola.com/libtrc/static/thumbnails/9cd1d1d2f715a64f7a7e5e55d1add380.jpg,31,32358,5706,5.99,0,0,0,0,0.54,1.05,0.19,0,0,0,0,0,0,0,0,0,
8/27/25,EarPros_UK_LEAD_APR24_mobile,36874267,UK_STATIC_Image 134_Title 15,4066592675,,${city:capitalized}$: Calling All People over 50! Claim Your New Hearing Aids Now,"Sleek, discreet, and affordable hearing aids are now available. Take a free trial today and experience the difference.",TRY_FREE,https://get.earpros.com/uk/adv/free-hearing-aid-trial/?mci=UKNAT1MEUZBJFW9,http://cdn.taboola.com/libtrc/static/thumbnails/6ce76bb9870f38b35fbe1134bc609222.png,,,22,18370,5507,5.59,0,0,0,0,0.4,1.01,0.25,0,0,0,0,0,0,0,0,0,
8/27/25,EarPros_UK_LEAD_APR24_mobile,36874267,UK_CLIP_Image 139_Title 15,4066592695,,${city:capitalized}$: Calling All People over 50! Claim Your New Hearing Aids Now,"Sleek, discreet, and affordable hearing aids are now available. Take a free trial today and experience the difference.",TRY_FREE,https://get.earpros.com/uk/adv/free-hearing-aid-trial/?mci=UKNAT1MEUZBJFW9,http://cdn.taboola.com/libtrc/static/thumbnails/IMAGE_UPSCALER/EIU/5fda96c9-51a6-456b-a1c7-870b46e7ed7b__etyunmRa.jpg,https://cdn.taboola.com/libtrc/static/video/v1744363111/hijowsrwik2vrx7wrsgi.mp4!-#@710x400,http://cdn.taboola.com/libtrc/static/thumbnails/deb7c783be905e134bac7497455e3ac9.jpg,29,45501,9313,5.36,0,0,0,0,0.31,0.58,0.18,0,0,0,0,0,0,0,0,0,
8/27/25,EarPros_UK_LEAD_MAR25_PREDICTIVE_mobile,44272980,UK_STATIC_Image 136_Title 15,4097690849,,${city:capitalized}$: Calling All People over 50! Claim Your New Hearing Aids Now,"Sleek, discreet, and affordable hearing aids are now available. Take a free trial today and experience the difference.",TRY_FREE,https://get.earpros.com/uk/adv/free-hearing-aid-trial/?mci=UKNAT1MEU2G5BNI,http://cdn.taboola.com/libtrc/static/thumbnails/1ac07d9e6a1ab0e064b9e044eb0c7c58.png,,,26,9253,1712,4.75,0,0,0,0,1.52,2.78,0.18,4.75,4.75,0,1,1,0,3.85,3.85,0,
8/27/25,EarPros_UK_LEAD_APR24_mobile,36874267,,4116151280,,"If you are over 50, you might be eligible for these hearing aids ! (Find out More)","Sleek, discreet, and affordable hearing aids are now available. Take a free trial today and experience the difference.",TRY_FREE,https://get.earpros.com/uk/adv/free-hearing-aid-trial/?mci=UKNAT1MEUZBJFW9%0A,https://cdn.taboola.com/libtrc/static/thumbnails/2c30b990a7802f913039b48f63dd1dd6.jpg,https://cdn.taboola.com/libtrc/static/video/v1747232492/vay8lvxi16laevceuccd.mp4!-#@800x480,https://cdn.taboola.com/libtrc/static/thumbnails/9cd1d1d2f715a64f7a7e5e55d1add380.jpg,13,7062,1701,3.71,0,0,0,0,0.76,2.18,0.29,0,0,0,0,0,0,0,0,0,
8/27/25,EarPros_UK_LEAD_APR24_mobile,36874267,UK_STATIC_Image 162,4100123005,,Britons born before 1970 may try these innovative hearing aids for Free (Read more),"Sleek, discreet, and affordable hearing aids are now available. Take a free trial today and experience the difference.",TRY_FREE,https://get.earpros.com/uk/adv/free-hearing-aid-trial/?mci=UKNAT1MEUZBJFW9,http://cdn.taboola.com/libtrc/static/thumbnails/02433736b68a86f29736a29225d11c13.png,,,14,5934,1187,3.57,0,0,0,0,1.18,3,0.25,0,0,0,0,0,0,0,0,0,
8/27/25,EarPros_UK_LEAD_MAR25_PREDICTIVE_mobile,44272980,UK_STATIC_Image 159 1,4100119234,,${city:capitalized}$: Calling All People over 50. Claim Your New Hearing Aids Now,"Sleek, discreet, and affordable hearing aids are now available. Take a free trial today and experience the difference",TRY_FREE,https://get.earpros.com/uk/adv/free-hearing-aid-trial/?mci=UKNAT1MEU2G5BNI,http://cdn.taboola.com/libtrc/static/thumbnails/e144d1f2246a9df719351d5a545e968b.png,,,11,3143,575,2.03,0,0,0,0,1.91,3.53,0.18,0,0,0,0,0,0,0,0,0,
8/27/25,EarPros_UK_LEAD_MAR25_PREDICTIVE_mobile,44272980,UK_CLIP_Image 167,4116151291,,${city:capitalized}$: Calling All People over 50! Claim Your New Hearing Aids Now,"Sleek, discreet, and affordable hearing aids are now available. Take a free trial today and experience the difference.",TRY_FREE,https://get.earpros.com/uk/adv/free-hearing-aid-trial/?mci=UKNAT1MEU2G5BNI,https://cdn.taboola.com/libtrc/static/thumbnails/5cdfd6caf40f0c720954d2c80611f7f5.jpg,https://cdn.taboola.com/libtrc/static/video/v1747232453/dttn6j0smwc420becuq8.mp4!-#@800x480,https://cdn.taboola.com/libtrc/static/thumbnails/a5e988fee500f2e6821ba7cd2f3147dc.jpg,15,5161,1164,2.03,0,0,0,0,1.29,1.74,0.14,0,0,0,0,0,0,0,0,0,
8/27/25,EarPros_UK_LEAD_MAR25_PREDICTIVE_mobile,44272980,UK_STATIC_Image 160,4100119242,,${city:capitalized}$: Calling All People over 50. Claim Your New Hearing Aids Now,"Sleek, discreet, and affordable hearing aids are now available. Take a free trial today and experience the difference",TRY_FREE,https://get.earpros.com/uk/adv/free-hearing-aid-trial/?mci=UKNAT1MEU2G5BNI,http://cdn.taboola.com/libtrc/static/thumbnails/f55ef3c50872680068035be6f967235b.png,,,11,2540,535,1.84,0,0,0,0,2.06,3.45,0.17,0,0,0,0,0,0,0,0,0,
8/27/25,EarPros_UK_LEAD_MAR25_PREDICTIVE_mobile,44272980,UK_CLIP_Image 118,4100122456,,Calling All People over 50. Claim Your New Hearing Aids Now,"Sleek, discreet, and affordable hearing aids are now available. Take a free trial today and experience the difference.",TRY_FREE,https://get.earpros.com/uk/adv/free-hearing-aid-trial/?mci=UKNAT1MEU2G5BNI%0A,http://cdn.taboola.com/libtrc/static/thumbnails/ce723f7cbdd2f21bacc7a41a89b0bf67.jpg,https://cdn.taboola.com/libtrc/static/video/v1741973699/kdj3eipgruhegfmy0nxv.mp4,http://cdn.taboola.com/libtrc/static/thumbnails/3c03d6d65f7749beab615d84da8c4fae.jpg,12,1966,428,1.68,0,0,0,0,2.8,3.92,0.14,0,0,0,0,0,0,0,0,0,
